CANNOT chose from ссѣдати	 to 	ссѣцати, снѣдати, ссѣкати, сѣдати, свѣдати, всѣдати	 distance == 1
CANNOT chose from неспасный	 to 	несварный, несносный, несмѣсный, неславный, неужасный, нестанный	 distance == 2
CANNOT chose from неизмолимый	 to 	неизмѣримый, неумолимый	 distance == 2
CANNOT chose from пригрѣсти	 to 	приобрѣсти, пригорѣти	 distance == 2
CANNOT chose from игумения	 to 	игуменья, игумениа	 distance == 1
CANNOT chose from задушный	 to 	радужный, содушный	 distance == 2
CANNOT chose from пласть	 to 	сласть, власть	 distance == 1
CANNOT chose from казити	 to 	кадити, разити, казнити	 distance == 1
CANNOT chose from дояти	 to 	даяти, доити	 distance == 1
CANNOT chose from вгодникъ	 to 	вводникъ, угодникъ	 distance == 1
CANNOT chose from отходъ	 to 	обходъ, отродъ	 distance == 1
CANNOT chose from непечение	 to 	печение, попечение, неучение	 distance == 2
CANNOT chose from покривый	 to 	покорливый, кривый	 distance == 2
CANNOT chose from вгрызение	 to 	угрызение, грызение	 distance == 1
CANNOT chose from яремъ	 to 	громъ, яръ	 distance == 2
CANNOT chose from простость	 to 	простота, кротость, бротость	 distance == 2
CANNOT chose from острѣщи	 to 	острищи, стрещи	 distance == 1
CANNOT chose from обавити	 to 	обавати, обвити	 distance == 1
CANNOT chose from россвѣтати	 to 	разсвѣтати, освѣтати, восцвѣтати	 distance == 2
CANNOT chose from таки	 to 	тако, такъ	 distance == 1
CANNOT chose from иглиный	 to 	мгляный, ослиный, глинный	 distance == 2
CANNOT chose from шлѣмъ	 to 	асемъ, левъ, салемъ, тлѣнъ, аломъ, аламъ, плѣнъ, ленъ, шумъ, слѣдъ, членъ, климъ, хлѣвъ, хлѣбъ, лѣсъ, едемъ, ледъ, уламъ, алефъ, еламъ, блѣдъ, наемъ, плевъ, елимъ	 distance == 2
CANNOT chose from заврѣщи	 to 	навлещи, зазрѣти, нарещи, залещи, отврещи, запрети, зажещи, изврещи, воврещи, злорѣщи, поврещи, врещи	 distance == 2
CANNOT chose from утворити	 to 	отворити, творити, утворяти	 distance == 1
CANNOT chose from окинути	 to 	зинути, ринути, минути	 distance == 2
CANNOT chose from чюдовъ	 to 	адовъ, иудовъ, гадовъ	 distance == 2
CANNOT chose from cзади	 to 	созади, позади	 distance == 2
CANNOT chose from вверху	 to 	верху, сверху	 distance == 1
CANNOT chose from волохъ	 to 	волосъ, молохъ	 distance == 1
CANNOT chose from розный	 to 	разный, ризный	 distance == 1
CANNOT chose from стыръ	 to 	сыръ, стыдъ	 distance == 1
CANNOT chose from сюды	 to 	сюда, сюду	 distance == 1
CANNOT chose from подѣлити	 to 	побѣлити, одѣлити	 distance == 1
CANNOT chose from жерновый	 to 	жерновный, терновый	 distance == 1
CANNOT chose from прѣспѣвати	 to 	преуспѣвати, предспѣвати, приспѣвати	 distance == 1
CANNOT chose from оводъ	 to 	поводъ, сводъ, доводъ	 distance == 1
CANNOT chose from прѣславный	 to 	преслушный, треглавный, всеславный, тщеславный, лжеславный, неславный	 distance == 2
CANNOT chose from кабы	 to 	камо, како	 distance == 2
CANNOT chose from оболочати	 to 	обличати, облачати	 distance == 2
CANNOT chose from прижити	 to 	прежити, пряжити, прижати	 distance == 1
CANNOT chose from роскрыти	 to 	сокрыти, скрыти	 distance == 2
CANNOT chose from лѣтати	 to 	лежати, летѣти, метати	 distance == 1
CANNOT chose from латина	 to 	златица, истина, литиа, паутина, лядина, ланита, картина, гатчина, личина, лаира, тина, пятина, татбина	 distance == 2
CANNOT chose from гноити	 to 	гнити, огноити	 distance == 1
CANNOT chose from розѣсти	 to 	понести, почести, довести, возсѣсти, вознести, провести, возвести, развести, прочести, донести, повести, пронести, сочести, помести, посѣсти	 distance == 2
CANNOT chose from скинути	 to 	счиняти, стиснути, вринути, зинути, ринути, уканути, сѣкнути, вскиснути, минути, согнути, счинити	 distance == 2
CANNOT chose from втащити	 to 	влазити, вращати, утаити, влачити, варити, таити, вражити, ставити, всадити, вадити, валити, тещити	 distance == 2
CANNOT chose from само	 to 	амо, тамо, камо, сѣмо	 distance == 1
CANNOT chose from запрѣщение	 to 	замѣщение, заплетение, прещение	 distance == 2
CANNOT chose from павечерний	 to 	невечерний, вечерний	 distance == 2
CANNOT chose from максимовъ	 to 	асимовъ, манаимовъ	 distance == 2
CANNOT chose from доступити	 to 	соступити, поступити	 distance == 1
CANNOT chose from наклоняти	 to 	склоняти, поклоняти, уклоняти	 distance == 2
CANNOT chose from взгнушати	 to 	огнушати, внушати	 distance == 2
CANNOT chose from исплатати	 to 	сплавати, исплясати, испадати, испытати, сплетати, исплювати	 distance == 2
CANNOT chose from исщипати	 to 	ископати, искапати, испивати, искипѣти, исписати, испинати, истирати, исчищати, исчитати, исхищати	 distance == 2
CANNOT chose from колдовати	 to 	толковати, волновати	 distance == 2
CANNOT chose from мочи	 to 	мыти, мяти, мочити	 distance == 2
CANNOT chose from прихожение	 to 	прихождение, приложение	 distance == 1
CANNOT chose from срати	 to 	спати, стати, брати, драти, прати, сжати, срасти, ссати, орати	 distance == 1
CANNOT chose from прѣсвѣтлый	 to 	несвѣтлый, всесвѣтлый, пресвятый, днесвѣтлый, трисвѣтлый	 distance == 2
CANNOT chose from доправити	 to 	управити, справити, правити	 distance == 2
CANNOT chose from охапити	 to 	охудити, повапити, окадити, опалити, озарити, охранити, осадити, одарити, охладити	 distance == 2
CANNOT chose from упустити	 to 	пустити, опустити	 distance == 1
CANNOT chose from умудити	 to 	умучити, учудити, убудити, умудрити, умздити	 distance == 1
CANNOT chose from ражечи	 to 	разжещи, зажещи, радѣти	 distance == 2
CANNOT chose from распасти	 to 	распастися, спасти, испасти, расчести, распаляти, напасти, растаяти, распяти, расплаяти, распалити, расписати, распалати	 distance == 2
CANNOT chose from облѣчати	 to 	облегчати, обличати, облачати	 distance == 1
CANNOT chose from дамианъ	 to 	дафанъ, амманъ, кампанъ, даниданъ, мадианъ	 distance == 2
CANNOT chose from уставный	 to 	составный, неуставный	 distance == 2
CANNOT chose from отблудити	 to 	соблудити, блудити	 distance == 2
CANNOT chose from сонзти	 to 	сняти, свезти, снити	 distance == 2
CANNOT chose from викия	 to 	свиния, ликиа	 distance == 2
CANNOT chose from утрѣшний	 to 	утрений, утренний	 distance == 1
CANNOT chose from трѣба	 to 	труба, отреба	 distance == 1
CANNOT chose from покрапляти	 to 	накрапляти, посрамляти, подкрѣпляти, окропляти	 distance == 2
CANNOT chose from сусѣкъ	 to 	сосѣдъ, кусокъ, сучецъ, сафекъ, сосецъ, масекъ, седекъ	 distance == 2
CANNOT chose from прѣсыпати	 to 	пресыхати, преспати, пресылати	 distance == 1
CANNOT chose from прѣпирати	 to 	препинати, презирати, препитати	 distance == 1
CANNOT chose from скровеный	 to 	сокровенный, кровный, скромный	 distance == 2
CANNOT chose from огражати	 to 	отражати, ограждати	 distance == 1
CANNOT chose from прѣдизвѣщати	 to 	предвозвѣщати, предвѣщати	 distance == 2
CANNOT chose from тый	 to 	гай, рай, стрый, рой	 distance == 2
CANNOT chose from убоиникъ	 to 	упорникъ, угодникъ, сборникъ	 distance == 2
CANNOT chose from гусльный	 to 	усильный, хульный	 distance == 2
CANNOT chose from замарный	 to 	зазорный, западный	 distance == 2
CANNOT chose from сумнѣти	 to 	шумѣти, умѣти, тучнѣти, сумнѣтися, соумрети, смѣти, умрети, мнѣти	 distance == 2
CANNOT chose from осиляти	 to 	всиляти, осияти	 distance == 1
CANNOT chose from усмихати	 to 	успивати, усмирити, утихати, усмиряти, умирати	 distance == 2
CANNOT chose from крѣпцѣ	 to 	крѣпко, рѣдцѣ	 distance == 2
CANNOT chose from козлина	 to 	козличина, долина, кончина, козица, колиба	 distance == 2
CANNOT chose from взитие	 to 	взытие, взятие	 distance == 1
CANNOT chose from помудити	 to 	помучити, посудити, побудити, понудити	 distance == 1
CANNOT chose from котера	 to 	котва, кора	 distance == 2
CANNOT chose from вставляти	 to 	оставляти, ставляти, уставляти	 distance == 1
CANNOT chose from поколѣбати	 to 	колебати, восколебати	 distance == 2
CANNOT chose from дославный	 to 	славный, неславный	 distance == 2
CANNOT chose from конста	 to 	кость, конура, коса, монета, краста	 distance == 2
CANNOT chose from улиянъ	 to 	млинъ, клинъ	 distance == 2
CANNOT chose from салтанъ	 to 	станъ, саладъ, саванъ, алланъ	 distance == 2
CANNOT chose from амуратовъ	 to 	азурановъ, амврамовъ	 distance == 2
CANNOT chose from пушка	 to 	суша, ручка, мука, рука, душа, почка	 distance == 2
CANNOT chose from иставити	 to 	ставити, уставити, оставити	 distance == 1
CANNOT chose from едесъ	 to 	кедесъ, едемъ, ефесъ	 distance == 1
CANNOT chose from обездити	 to 	обездолити, обходити, обводити, ѣздити	 distance == 2
CANNOT chose from варганъ	 to 	фарфанъ, хаганъ, арканъ, варваръ, фаргалъ, васанъ, маранъ, фасганъ, харанъ, фарханъ, вранъ, харранъ, вефганъ, фарсанъ, органъ, каганъ	 distance == 2
CANNOT chose from накра	 to 	икра, нора, пара, лаира, никеа, кара, искра, рака, наука	 distance == 2
CANNOT chose from прикатити	 to 	причастити, привратити, прикупити, привалити, присѣтити, припалити, приразити, примѣтити, придавити, прекратити, прикасати, прирастити	 distance == 2
CANNOT chose from непрѣстанно	 to 	непреступно, безпрестанно	 distance == 2
CANNOT chose from бесмертный	 to 	безсмертный, несмертный	 distance == 1
CANNOT chose from самоврѣменный	 to 	современный, маловременный	 distance == 2
CANNOT chose from заганъ	 to 	хаганъ, каганъ	 distance == 1
CANNOT chose from прѣужасный	 to 	прекрасный, неужасный	 distance == 2
CANNOT chose from пушечный	 to 	душевный, увѣчный	 distance == 2
CANNOT chose from звонный	 to 	зловонный, военный	 distance == 2
CANNOT chose from колѣбати	 to 	клепати, поколебати, углѣбати	 distance == 2
CANNOT chose from заиграти	 to 	играти, зазирати, поиграти, заимати, забрати	 distance == 2
CANNOT chose from полый	 to 	полный, голый	 distance == 1
CANNOT chose from сгустити	 to 	огустити, спустити	 distance == 1
CANNOT chose from прѣскочити	 to 	препочити, премочити	 distance == 2
CANNOT chose from оружити	 to 	дружити, окружити	 distance == 1
CANNOT chose from захватити	 to 	заплатити, ухватити, завалити	 distance == 2
CANNOT chose from изграбление	 to 	разграбление, грабление	 distance == 2
CANNOT chose from противляти	 to 	проявляти, противоити, противлятися	 distance == 2
CANNOT chose from охрабрити	 to 	ограбити, охранити	 distance == 2
CANNOT chose from прѣкратити	 to 	превратити, прекротити	 distance == 1
CANNOT chose from расмотряти	 to 	насмотряти, разсмотряти	 distance == 1
CANNOT chose from помѣтити	 to 	помѣстити, посѣтити	 distance == 1
CANNOT chose from застѣние	 to 	заушение, зазрѣние, затчение, зарение, забвение, запустѣние, израстение, растлѣние	 distance == 2
CANNOT chose from задѣлывати	 to 	задѣвати, завѣдывати, содѣлывати	 distance == 2
CANNOT chose from смоле	 to 	поле, море, молие	 distance == 2
CANNOT chose from покровный	 to 	кровный, покорный	 distance == 2
CANNOT chose from стрение	 to 	строение, сотрение	 distance == 1
CANNOT chose from прѣсѣкати	 to 	пресѣцати, пререкати, прерѣкати, претекати	 distance == 1
CANNOT chose from согнати	 to 	согнити, согнути	 distance == 1
CANNOT chose from удрожати	 to 	удружати, дрожати	 distance == 1
CANNOT chose from башта	 to 	чаша, цата, башня, тафта, баба	 distance == 2
CANNOT chose from патрийский	 to 	латрийский, парийский	 distance == 1
CANNOT chose from братеникъ	 to 	бранникъ, ратникъ, вратникъ	 distance == 2
CANNOT chose from побѣгати	 to 	побѣжати, пробѣгати	 distance == 1
CANNOT chose from непрѣмѣнно	 to 	недремленно, непреемно, премѣнно, непримѣтно, непрощенно, недреманно	 distance == 2
CANNOT chose from киръ	 to 	тиръ, клиръ, жиръ, кипръ, миръ, пиръ, китъ	 distance == 1
CANNOT chose from отсѣка	 to 	отмѣна, отреба	 distance == 2
CANNOT chose from совати	 to 	ковати, созвати	 distance == 1
CANNOT chose from обозъ	 to 	богъ, возъ, бобъ, бокъ	 distance == 2
CANNOT chose from вѣзжати	 to 	лежати, бѣжати, вдѣжати, вѣщати, везти, вбѣжати, вязати, вергати, воздати, возвати, изжати, ветшати, вѣшати, вѣдати, держати, рѣзати, вѣнчати	 distance == 2
CANNOT chose from затѣснити	 to 	сотѣснити, утѣснити, завѣсити, тѣснити, стѣснити, замѣнити	 distance == 2
CANNOT chose from обѣзждати	 to 	побѣждати, обуздати, обѣдати, оцѣждати, обхождати, убѣждати	 distance == 2
CANNOT chose from полоняти	 to 	поклоняти, погоняти	 distance == 1
CANNOT chose from плита	 to 	слота, улица, глина, палица, литиа, пища, лида, птица, слина, плоть, плиада, лива, притча, длина, пята, литра, палата, слива, пира, пила, плинфа, лира, литва	 distance == 2
CANNOT chose from израда	 to 	ограда, брада, отрада, избава	 distance == 2
CANNOT chose from два	 to 	овча, дно, диво	 distance == 2
CANNOT chose from трепати	 to 	трогати, трепетати	 distance == 2
CANNOT chose from черленый	 to 	червленый, червеный	 distance == 1
CANNOT chose from буивольный	 to 	близвольный, безвольный, буквальный	 distance == 2
CANNOT chose from стрѣтити	 to 	срѣтити, стрѣлити	 distance == 1
CANNOT chose from дория	 to 	кония, кария, колия, дора	 distance == 2
CANNOT chose from плесо	 to 	плеще, плече, просо	 distance == 2
CANNOT chose from папиный	 to 	паличный, капищный, вапный	 distance == 2
CANNOT chose from застрѣлити	 to 	дострѣлити, устрѣлити, стрѣлити	 distance == 2
CANNOT chose from мѣль	 to 	цѣль, мѣдь	 distance == 1
CANNOT chose from русакъ	 to 	кусокъ, рафакъ	 distance == 2
CANNOT chose from каитакъ	 to 	критикъ, аттакъ, ваинакъ	 distance == 2
CANNOT chose from усланъ	 to 	станъ, слонъ, санъ, уставъ, асанъ, уламъ, голанъ, алланъ	 distance == 2
CANNOT chose from тархи	 to 	варни, тарсъ	 distance == 2
CANNOT chose from коитулъ	 to 	котелъ, консулъ	 distance == 2
CANNOT chose from шамахъ	 to 	амамъ, амадъ, амафъ, фанахъ, маахъ, рамафъ, фалахъ, запахъ, халахъ, самехъ	 distance == 2
CANNOT chose from бака	 to 	рака, баба	 distance == 1
CANNOT chose from амиля	 to 	змия, амния	 distance == 2
CANNOT chose from рѣи	 to 	рай, рой	 distance == 2
CANNOT chose from алеевъ	 to 	алфеевъ, фалеевъ	 distance == 1
CANNOT chose from наинъ	 to 	аинъ, гаинъ	 distance == 1
CANNOT chose from батманъ	 to 	амманъ, фавманъ	 distance == 2
CANNOT chose from ларъ	 to 	варъ, маръ, жаръ, паръ, баръ, даръ, шаръ	 distance == 1
CANNOT chose from варный	 to 	вѣрный, важный, вапный	 distance == 1
CANNOT chose from тава	 to 	тавла, пава, трава	 distance == 1
CANNOT chose from дѣгъ	 to 	бѣгъ, дѣдъ	 distance == 1
CANNOT chose from канбатъ	 to 	канафъ, каналъ	 distance == 2
CANNOT chose from лекъ	 to 	лукъ, ликъ	 distance == 1
CANNOT chose from арабанский	 to 	арианский, адаманский, араратский	 distance == 2
CANNOT chose from сястный	 to 	честный, костный, сластный, суетный, ясный, частный, скотный, смутный, лестный, устный, ситный, мѣстный, вѣстный, постный, мясный	 distance == 2
CANNOT chose from булатъ	 to 	бунтъ, братъ, галатъ, уламъ, платъ	 distance == 2
CANNOT chose from кендарь	 to 	келарь, календарь, кесарь	 distance == 2
CANNOT chose from оболочити	 to 	обличити, облачити	 distance == 2
CANNOT chose from сѣждати	 to 	сѣдати, саждати	 distance == 1
CANNOT chose from свозити	 to 	свопити, сводити, возити	 distance == 1
CANNOT chose from шихъ	 to 	ошибъ, онихъ	 distance == 2
CANNOT chose from аладинъ	 to 	палатинъ, араминъ, людинъ, ладанъ, латинъ	 distance == 2
CANNOT chose from миля	 to 	миса, жила, шия, вила, сила, мина, мгла, воля, тля, пила, змия	 distance == 2
CANNOT chose from асатъ	 to 	ахатъ, асанъ	 distance == 1
CANNOT chose from кози	 to 	возъ, вои, колъ, мощи, конь, ковъ, кошъ	 distance == 2
CANNOT chose from татенъ	 to 	тлѣнъ, остенъ, танинъ, латинъ, шатеръ	 distance == 2
CANNOT chose from сахаръ	 to 	сихарь, сухарь	 distance == 2
CANNOT chose from шшень	 to 	тѣнь, сѣнь	 distance == 2
CANNOT chose from золотити	 to 	поглотити, воплотити, заложити, положити	 distance == 2
CANNOT chose from султановъ	 to 	иулиановъ, силуановъ, салановъ	 distance == 2
CANNOT chose from записывати	 to 	списывати, описывати, записати, написовати, вписывати	 distance == 2
CANNOT chose from заговѣние	 to 	заколение, говѣние, забвение, мановение, заточение	 distance == 2
CANNOT chose from индѣянинъ	 to 	индианинъ, иудеанинъ	 distance == 2
CANNOT chose from хозя	 to 	возъ, ходъ, хола, хоръ, хора	 distance == 2
CANNOT chose from исуфъ	 to 	судъ, суръ, искусъ, искупъ, ифъ	 distance == 2
CANNOT chose from маназъ	 to 	маафъ, монахъ, канафъ, маранъ, фанахъ, манаафъ, каналъ, данафъ, маахъ, мразъ, мнасъ, мануафъ	 distance == 2
CANNOT chose from распытати	 to 	расчитати, распинати, испытати, распирати, расписати, распалати	 distance == 2
CANNOT chose from воловина	 to 	оловина, половина	 distance == 1
CANNOT chose from бутовъ	 to 	титовъ, суфовъ, суровъ, лотовъ, китовъ, руфовъ, иудовъ, хуфовъ, суповъ, вузовъ, хусовъ	 distance == 2
